dealer_name,contact,address
Flint Equipment Company - Cuthbert,"Sales Department, eclaxton@flintequipco.com","Rt. 3, Cuthbert, GA 39840, 
, 
, 
"
Flint Equipment Company - Cordele,"sales Department, eclaxton@flintequipco.com","412 Seventh Street North, Cordele, GA 31015, 
, 
, 
"
Elite Ag - Leesburg,"Sales Department, adam@eliteagco.com","997 US Highway 19N, Leesburg, GA 31763, 
, 
, 
"
Flint Equipment Company - Colquitt,"Sales Department, eclaxton@flintequipco.com","570 East Crawford Street, Colquitt, GA 39837, 
, 
, 
"
Flint Equipment Company - Americus,"Sales Department, eclaxton@flintequipco.com","864 US Hwy. 280 East, Americus, GA 31709, 
, 
, 
"
"Blanchard Equipment Company, Inc. - Swainsboro","Sales, mblackbburn@blanchardequipment.com","331 Industrial Way, Swainsboro, GA 30401, 
, 
, 
"
"Blanchard Equipment Company, Inc. - Pooler","Sales, augusta@blanchardequipment.com","122 Eason Drive, Pooler, GA 31322, 
, 
, 
"
"Blanchard Equipment Company, Inc. - Tennille","Sales, jmeeks@blanchardequipment.com","791 Highway 15 South, Tennille, GA 31089, 
, 
, 
"
"Blanchard Equipment Company, Inc. - Statesboro","Sales, dsmith@blanchardequipment.com","201 Stockyard Rd., Statesboro, GA 30458, 
, 
, 
"
"Atlantic & Southern Equipment, LLC - Tifton","Sales Department, john_hoffmann@atlanticandsouthern.com","4186 Highway 82 W, Tifton, GA 31793, 
, 
, 
"
DeMott Machinery - Moultrie,"John DeMott, Sales, john@demottauction.com","1894 Sylvester Highway, Moultrie, GA 31768, 
, 
, 
"
"Blanchard Equipment Company, Inc. - Augusta","Sales, Sales, bburke@blanchardequipment.com","4266 Belair Frontage Road 30909, Augusta, GA 30909 , 
, 
, 
"
"Blanchard Equipment Company, Inc. - Dublin","Sales, jdulin@blanchardequipment.com","2069 US-441, Dublin, GA 31021, 
, 
, 
"
"Blanchard Equipment Company, Inc. - Louisville","Sales, jgay@blanchardequipment.com","525 Highway 1 Bypass South, Louisville, GA 30434, 
, 
, 
"
"Atlantic & Southern Equipment, LLC - Lake City","Sales Department, john_hoffmann@atlanticandsouthern.com","1624 Forest Parkway, Lake City, GA 30260, 
, 
, 
"
"Ag-Pro LLC - Rome, GA",Sales Department,"867 Cedar Ave SW, Rome, GA 30161, 
, 
, 
"
Ag-Pro LLC - Valdosta,"Jay Pittman, WvaldostaGM@agproco.com","4506 North Valdosta Road, Valdosta, GA 31602, 
, 
, 
"
"Lake Henry Implement, Inc. - Paynesville","Dan Liebl, Sales Manager, lhi.dan@centmnequip.net","23661 State Hwy. 4, Paynesville, MN 56362, 
, 
, 
"
Ag-Pro LLC - Thomasville,"Eric Smith, Store Manager, wthomasvillegm@agproco.com","12793 US 19 South, Thomasville, GA 31792, 
, 
, 
"
Ag-Pro LLC - Quitman,"Chris Waters, CWaters@agproco.com","8640 US HWY 84 , Quitman, GA 31643, 
, 
, 
"
Kibble Equipment - Tyler,"Margo Sik, Store Lead, margo.sik@kibbleeq.com","500 Hwy 14 W, Tyler, MN 65178, 
, 
, 
"
Kibble Equipment - Wabasso,"Pat Eichten, Store Lead, pat.eichten@kibbleeq.com","150 Hwy. 68, Wabasso, MN 56293, 
, 
, 
"
Kibble Equipment - Sleepy Eye,"Chadd Hollerich, Store Lead, chadd.hollerich@kibbleeq.com","1201 Main East, Sleepy Eye, MN 56085, 
, 
, 
"
Kibble Equipment - Marshall,"Kyle Minett, Store Lead, kyle.minett@kibbleeq.com","1100 N US Hwy 59, Marshall, MN 56258, 
, 
, 
"
Kibble Equipment - Owatonna,"Mike Stori, Store Manager, mike.stori@kibbleeq.com","3555 SW 18th St., Owatonna, MN 55060, 
, 
, 
"
Kibble Equipment - Montevideo,"Chad Arends, Store Lead, chad.arends@kibbleeq.com","3099 Hwy. 7 SW, Montevideo, MN 56265, 
, 
, 
"
Kibble Equipment - Blue Earth,"Travis Stallkamp, Store Lead/Sales Manager, travis.stallkamp@kibbleeq.com","107 Faribault Drive, Blue Earth, MN 56013, 
, 
, 
"
Kibble Equipment - Hollandale,"Jake Veldman, jake.veldman@kibbleeq.com","101 Zuyder Zee Avenue, Hollandale, MN 56045, 
, 
, 
"
Kibble Equipment - Mankato,"Scott Brockmann, Store Lead/ Sales, scott.brockmann@kibbleeq.com","1150 South Victory Drive, Mankato, MN 56001, 
, 
, 
"
Kibble Equipment - Belle Plaine,"Rick Miller, rick.miller@kibbleeq.com","1051 Old Hwy. 169 Blvd., Belle Plaine, MN 56011, 
, 
, 
"
Keith Bode Equipment - Fairfax,"Keith Bode, Owner, deerekeith@gmail.com","70786 510th St. , Fairfax, MN 55332, 
, 
, 
"
"J&S Repair, Inc. - Zumbrota","Travis Warmka, travis@jsrepair.com","44490 Hwy 52 Blvd, Zumbrota, MN 55992, 
, 
, 
"
"Kesteloot Enterprises, Inc. - Marshall","Josh Boerboom, kestelootsales2@live.com","504 Baseline Road, Marshall, MN 56258, 
, 
, 
"
"J&S Repair, Inc. - Grand Meadow","Travis Warmka, travis@jsrepair.com","505 2nd Street, Grand Meadow, MN 55936, 
, 
, 
"
"Kesteloot Enterprises, Inc. - Green Valley","Sales Department, sales@kestelootenterprises.com","2517 County Road 8, Marshall, MN 56258, 
, 
, 
"
"Jaycox Implement, Inc. - Worthington",Sales Department,"1909 Oxford St., Worthington, MN 56187, 
, 
, 
"
"Rodkey New Holland, Inc.","Fred Rodkey, Store Manager, fredrodkey@rodkeynh.com","3340 W St. Rd. 26, Rossville, IN 46065, 
, 
, 
"
Haug Implement Co. - Litchfield,"Jared Elton, waderoemeling@haugimp.com","62105 MN Hwy. 24, Litchfield , MN 55355, 
, 
, 
"
Haug Kubota LLC.,"Brian Lingle, General Manager, mail@haugkubota.com","3585 Highway E 12, Willmar , MN 56201, 
, 
, 
"
Haug Implement Co. - Willmar ,"Wade Roemeling, Used Equipment Manager, waderoemeling@haugimp.com","3593 E Highway 12, Willmar , MN 56201, 
, 
, 
"
Reynolds Farm Equipment - Muncie,"Sales, cblack@reynoldsfarmequipment.com","2220 East McGalliard Road, Muncie, IN 47303, 
, 
, 
"
"Jaycox Implement, Inc. - Luverne",Sales Department,"410 W Koehn Ave., Luverne, MN 56156, 
, 
, 
"
Reynolds Farm Equipment - Mooresville,"Sales, bott@reynoldsfarmequipment.com","102 Deere Park Dr., Mooresville, IN 46158, 
, 
, 
"
Reynolds Farm Equipment - Fishers,"Sales, ptarlton@reynoldsfarmequipment.com","12501 Reynolds Drive, Fishers, IN 46038, 
, 
, 
"
"Pigg Implement Sales, LLC - Sullivan","Terry  Nash, Sales, terry@piggimplement.com","2249 N Section Street, Sullivan, IN 47882, 
, 
, 
"
Reynolds Farm Equipment - Atlanta,"Sales, areitz@reynoldsfarmequipment.com","1451 East 276th Street, Atlanta, IN 46031, 
, 
, 
"
Reynolds Farm Equipment - Lebanon,"Sales, ebiesecker@reynoldsfarmequipment.com","2059 Indianapolis Ave, Lebanon, IN 46052, 
, 
, 
"
Yost Farm Supply - St. Francis,"Jon Yost, Manager , jonyost@st-tel.net","East Hwy 36, St. Francis, KS 67735, 
, 
, 
"
Prible Ag Products - Poneto,"Bob Prible, info@pribleagproducts.com","1920 W 700 S, Poneto, IN 46781, 
, 
, 
"
Ag-Pro LLC - Newnan,"Sales Department, WNewnanGM@agproco.com","81 Millard Farmer Industrial Blvd, Newnan, GA 30263, 
, 
, 
"
Plevna Implement Company - Kokomo,"Sales Department, taylor.plevna@comteck.com","7960 East 400 N, Kokomo, IN 46901, 
, 
, 
"
"Polk Equipment, Inc. - Leesburg","Jeremiah Polk, Territory Sales Manager , jeremiah@polkequipmentinc.com","6407 N. State Road 15, Leesburg, IN 46538, 
, 
, 
"
Ag-Pro LLC - Mershon,"Kyle Lock, Store Manager, WmershonGM@agproco.com","2477 Hwy. 32, Mershon, GA 31551, 
, 
, 
"
Plevna Implement Company - Nappanee,"Taylor Lehman, taylor.plevna@comteck.com","1916 E Market Street, Nappanee, IN 46550, 
, 
, 
"
Yost Farm Supply - Goodland,"Jon Yost, Manager , jonyost@st-tel.net","725 Old US Hwy 24, Goodland, KS 67335, 
, 
, 
"
Ag-Pro LLC - McDonough,"Sales Department, WMcDonoughGM@agproco.com","192 Industrial Blvd, McDonough, GA 30253, 
, 
, 
"
Ag-Pro LLC - Madison,"Jamie Waldrip, Store Manager/Sales, WMadisonGM@agproco.com","1350 Ste. D Lions Club Road, Madison, GA 30650, 
, 
, 
"
Ag-Pro LLC - Macon,"Sales Department, WMaconGM@agproco.com","4951 Sheraton Drive, Macon, GA 31210, 
, 
, 
"
Ag-Pro LLC - Milledgeville,"Jordan Long, Store Manager, WmilledgevilleGM@agproco.com","2661 North Columbia St., Milledgeville, GA 31061, 
, 
, 
"
Ag-Pro LLC - Jasper,"Sales Department, WJasperGM@agproco.com","280 Shelby Lane, Jasper, GA 30143, 
, 
, 
"
Ag-Pro LLC - Grayson,"John Bedingfield, WGraysonGM@agproco.com","1721 Athens HWY, Grayson, GA 30017, 
, 
, 
"
Ag-Pro LLC - Dixie,"Nicholas Inman, Store Manager, NGamble@agproco.com","4281 US Hwy. 84 W, Dixie, GA 31629, 
, 
, 
"
Ag-Pro LLC - Gainsville,"Alan Thomas, WGAGainesvilleGM@agproco.com","2801 Browns Bridge Road, Gainesville , GA 30504, 
, 
, 
"
Ag-Pro LLC - Dacula,"Cliff Porter, WDaculaGM@agproco.com","2173 Winder Hwy, Dacula, GA 30019, 
, 
, 
"
Ag-Pro LLC - Dalton,"Austin Wallen, WDaltonGM@agproco.com","2404 East Morris Street, Dalton, GA 30721, 
, 
, 
"
Ag-Pro LLC - Conyers,"Jeff King, JKing@agproco.com","1377 Dogwood Dr., Conyers, GA 30012, 
, 
, 
"
Tractor & Equipment Co. - Worland,"Customer Service Specialist, aginfo@tractorandequipment.com","3321 Big Horn Avenue, Worland, WY 82401, 
, 
, 
"
Ag-Pro LLC - Carnesville,"Kevin  Payne, WCarnesvilleGM@agproco.com","10963 GA Hwy. 106, Carnesville, GA 30521, 
, 
, 
"
Ag-Pro LLC - Cartersville,"Sales Department, WCartersvilleGM@agproco.com","1534 Highway 411 North, Cartersville, GA 30121, 
, 
, 
"
Hammell Equipment - Harmony,"Eric, Sales, harmony@hammellequipment.com","330 Main Avenue North, Harmony, MN 55939, 
, 
, 
"
Ag-Pro LLC - Cairo,"Nathan Gamble, Store Manager, WCairoGM@agproco.com","2025 US Hwy. 84 East, Cairo, GA 39828, 
, 
, 
"
Hammell Equipment - Rushford,"Mike, Sales, rushford@hammellequipment.com","415 Minnesota 16, Rushford, MN 55971, 
, 
, 
"
Titan Machinery - Gillette,"Sales Department, leadmanagement@titanmachinery.com","4802 S Garner Lake Road, Gillette, WY 82718, 
, 
, 
"
Stotz Equipment - Casper,"John  Hornecker, jhornecker@stotzeq.com","352 Blackmore Road, Casper, WY 82636, 
, 
, 
"
Stotz Equipment - Riverton,"Jon  Keel, Sales, jkeel@stotzeq.com","10801 State Hwy. 789, Riverton, WY 82501, 
, 
, 
"
Rose Bros Inc. - Lingle,"Jeff Rose, Owner, jeff@rosebrosinc.com","302 Main St., Lingle, WY 82223, 
, 
, 
"
"C & B Operations, LLC - Powell","Trent Sesions, Store manager, SessionsTM@deerequipment.com","1025 W Coulter, Powell, WY 82435, 
, 
, 
"
"New Holland Rochester, Inc.","Jim Walsh, Salesman, j.walsh@nhreq.com","1260 E 100 S, Rochester, IN 46975, 
, 
, 
"
"C & B Operations, LLC - Sheridan","Andy Ward, Store Manager, WardA@deerequipment.com","2491 Heartland Dr, Sheridan, WY 82801, 
, 
, 
"
"New Holland Greentown, Inc.","Rick Sottong, Store Manager, r.sottong@nhgt.net","532 E Uncle Tom Street, Greentown, IN 46936, 
, 
, 
"
4 Rivers Equipment - Cheyenne,"Dennis Wagner, dwagner@4riversequipment.com","7917 Hutchins Dr., Cheyenne, WY 82007, 
, 
, 
"
"New Holland Logansport, Inc.","Mike Stephenson, Store Manager, m.stephenson@nhlogan.com","2079 S US 35, Logansport, IN 46947, 
, 
, 
"
"New Holland Richmond, Inc.","Eric Walker, Used Sales Manager, e.walker@nhcenter.net","3100 Industries Rd, Richmond, IN 47374, 
, 
, 
"
Koenig Equipment - Richmond,"Sales Department, richmond@koenigequipment.com","3421 State Road 38, Richmond, IN 47374, 
, 
, 
"
Koenig Equipment - Greenfield,"Sales Department, greenfield@koenigequipment.com","1929 East Main Street, Greenfield, IN 46140, 
, 
, 
"
Koenig Equipment - Greensburg,"Sales Department, greensburg@koenigequipment.com","3871 West Old Highway 16, Greensburg, IN 47240, 
, 
, 
"
21st Century Equipment - Torrington,"Used Sales, usedsales@21stcenturyequip.com","5180 US Highway 26, Torrington, WY 82240, 
, 
, 
"
Koenig Equipment - Franklin,"Sales Department, franklin@koenigequipment.com","3100 Early wood Drive, Franklin, IN 46131, 
, 
, 
"
Kenn-Feld Group - Woodburn,"Sales Department, kfgused@kfgllc.net","4724 State Route 101, Woodburn, IN 46797, 
, 
, 
"
JL Farm Equipment (H&R Agri-Power) - Princeton,"Paul Beuligmann, General Manager","1814 W. 100 N., Princeton, IN 47670, 
, 
, 
"
Kenn-Feld Group - Angola,"Sales Department, kfgused@kfgllc.net","208 W. Harcourt Rd., Angola, IN 46703, 
, 
, 
"
Koenig Equipment - Rushville,"Sales Department, rushville@koenigequipment.com","1111 West 3rd Street, Rushville, IN 46173, 
, 
, 
"
JL Farm Equipment (H&R Agri-Power) - Poseyville,"Steve Wassmer, Sales Manager, steve@jlfarm.com","10100 Hwy. 165 N, Poseyville, IN 47633, 
, 
, 
"
"Jacobi Sales, Inc. - Seymour",Sales Department,"415 Stevens Way, Seymour, IN 47274, 
, 
, 
"
"Storrer Implement, Inc. - Iola","Sales Department, sales@storrerimplement.com","1801 East Street, Iola, KS 66749, 
, 
, 
"
Van Wall Equipment - Lenexa,"Sales Department, Mark.See@vanwall.com","9650 Dice Lane, Lenexa, KS 66215, 
, 
, 
"
Romans Outdoor Power - Independence,"Nate Carter, nate@kckubota.com","3011 W. Main, Independence, KS 67301, 
, 
, 
"
Romans Outdoor Power - Louisburg,"David Rohl, daverohl@gmail.com","203 Crestview Circle, Louisburg, KS 66053, 
, 
, 
"
Skyview Equipment - Hiawatha,"Daron Bauerle, General Manager, dbauerle1@hotmail.com","1306 US 36 Hwy, Hiawatha, KS 66434, 
, 
, 
"
"Schmidt & Sons, Inc. - Winfield","Sales, winfield@schmidtinc.com","2303 West 9th Ave., Hwy. 160, Winfield, KS 67156, 
, 
, 
"
"Schmidt & Sons, Inc. - Mt. Hope","Sales, inquire@schmidtinc.com","12903 E Silver Lake Rd., Mt. Hope, KS 67108, 
, 
, 
"
PrairieLand Partners LLC - Winfield,"Curtis  Trecek, Store Manager, plpjd@plpjd.com","2300 W 9th, Winfield, KS 67156, 
, 
, 
"
PrairieLand Partners LLC - McPherson,"Kelly Pitts, Store Manager, plpjd@plpjd.com","1411 S Hwy. 81 Bypass, McPherson, KS 67460, 
, 
, 
"
PrairieLand Partners LLC - Wichita,"Doug Schmidt, Store Manager, plpjd@plpjd.com","2218 S West St., Wichita, KS 67213, 
, 
, 
"
PrairieLand Partners LLC  - Wamego,"Michael Adams, Store Manager, plpjd@plpjd.com","1001 Southwind Drive, Wamego, KS 66547, 
, 
, 
"
PrairieLand Partners LLC - Kingman,"Jerid Befort, Store Manager, plpjd@plpjd.com","1202 E Hwy. 54, Kingman, KS 67068, 
, 
, 
"
PrairieLand Partners LLC - Hutchinson,"Mike Ramsey, Store Manager, plpjd@plpjd.com","1800 S Lorraine, Hutchinson, KS 67501, 
, 
, 
"
PrairieLand Partners LLC - Independence,"John  Stewart, Sales Manager, plpjd@plpjd.com","3182 Hwy. 160, Independence, KS 67301, 
, 
, 
"
PrairieLand Partners LLC - Marion,"Brad Wheeler, Store Manager, plpjd@plpjd.com","902 N Cedar, Marion, KS 66861, 
, 
, 
"
PrairieLand Partners LLC - Iola,"Dale Lalman, Site Manager, plpjd@plpjd.com","2701 N State St, Iola, KS 66749, 
, 
, 
"
PrairieLand Partners LLC  - Clay Center,"Charles Cyr, Store Manager, plpjd@plpjd.com","642 W Crawford, Clay Center, KS 67432, 
, 
, 
"
PrairieLand Partners LLC - Emporia,"Nik  Roth, Store Manager, plpjd@plpjd.com","1744 County Rd. F, Emporia, KS 66801, 
, 
, 
"
"New Holland Tri-County, Inc.","Ken Mast, Store Manager, dealer@nhtrico.net","2675 S St. Rd. 1, Bluffton, IN 46714, 
, 
, 
"
PrairieLand Partners LLC - Andale,"Fred Seiler, Store Manager, plpjd@plpjd.com","24800 W 53rd St. North, Andale, KS 67001, 
, 
, 
"
PrairieLand Partners LLC - Anthony,"Pat  Myers, Store Manager, plpjd@plpjd.com","501 W Main, Anthony, KS 67003, 
, 
, 
"
McKillip Machinery - Wabash,"Brent McKillip, brent@mckillipmachinery.com","697 W 50 N, Wabash, IN 46992, 
, 
, 
"
PrairieLand Partners LLC - Concordia,"Ryan Anderson, Store Manager, plpjd@plpjd.com","1441 Union Rd., Concordia, KS 66901, 
, 
, 
"
PrairieLand Partners LLC - Abilene,"Troy Leith, Store Manager, plpjd@plpjd.com","1300 S Buckeye, Abilene, KS 67410, 
, 
, 
"
Plains Equipment Group - Oberlin,"Sales Department, mstracke@akrs.com","126 N Penn, Oberlin, KS 67749, 
, 
, 
"
"Larry's Diesel Repair, LLC - Frontenac","Dennis Burns, dennis.b@larrysdiesel.com","260 N. Industrial Drive, Frontenac, KS 66763, 
, 
, 
"
"Lang Diesel, Inc. - Salina","Sales Department, wholesale@langdieselinc.com","144 W Farrelly Rd., Salina, KS 67401, 
, 
, 
"
"Lang Diesel, Inc. - South Hutchinson","Sales Department, wholesale@langdieselinc.com","800 Wilbeck Dr., South Hutchinson, KS 67505, 
, 
, 
"
Oakley AG Center - Oakley,"Josh Lowrie, Sales Manager, josh@oakleyag.com","US HWY 40, Oakley, KS 67748, 
, 
, 
"
"Lang Diesel, Inc. - Topeka","Sales Department, wholesale@langdieselinc.com","1200 NW Hwy. 24, Topeka, KS 66608, 
, 
, 
"
"Lang Diesel, Inc. - Smith Center","Sales Department, wholesale@langdieselinc.com","815 W Hwy. 36, Smith Center, KS 66967, 
, 
, 
"
"Lang Diesel, Inc. - Hays","Sales Department, wholesale@langdieselinc.com","1366 Toulon Ave., Hays, KS 67601, 
, 
, 
"
Ag-Pro LLC - Bainbridge,"Kyle Vickers, Store Manager, WBainbridgeGM@agproco.com","1931 Dothan Rd., Bainbridge, GA 39817, 
, 
, 
"
"Lang Diesel, Inc. - Hillsboro","Sales Department, wholesale@langdieselinc.com","603 N Ash St., Hillsboro, KS 67063, 
, 
, 
"
Glade & Grove Supply - Belle Glade,"Curtis Wager, Sales Manager, ihwager@gmail.com","1006 SOUTH MAIN ST  , Belle Glade, FL 33430, 
, 
, 
"
Futch's Tractor Depot - Hastings,"Shawn Sadler, shawn@futchsdepot.com","8515 State Road 207, Hastings, FL 32145, 
, 
, 
"
Ag-Pro LLC - Brunswick,"Sales Department, infor@agprocompanies.com","3314 Cypress Mill Road, Brunswick, GA 31525, 
, 
, 
"
Ag-Pro LLC - Ocala,"Kelly Tabor, Store Manager, WOcalaGM@agproco.com","1695 NW 63rd Street, Ocala, FL 34475, 
, 
, 
"
"Lang Diesel, Inc. - Garden City","Sales Department, wholesale@langdieselinc.com","4575 E Hwy. 50 Plaza, Garden City, KS 67846, 
, 
, 
"
Ag-Pro LLC - Middleburg,"Seve Sanders, General Manager, WMiddleburgGM@agproco.com","2520 County Road 220, Middleburg, FL 32068, 
, 
, 
"
Ag-Pro LLC - Tallahassee,"Dave Emerson, General Manager, wtallahasseegm@agproco.com","2890 Industrial Plaza Drive, Tallahassee, FL 32301, 
, 
, 
"
Ag-Pro LLC - Live Oak,"J.T. Hingson, Store Manager, WLiveOakGM@agproco.com","10055 Highway 129 South, Live Oak, FL 32060, 
, 
, 
"
Ag-Pro LLC - Lake City ,"John Spivey, jspivey@agproco.com","692 SW Arrowhead Terrace, Lake City, FL 32024, 
, 
, 
"
Ag-Pro LLC - Jacksonville,"Bill Roberson, WJacksonvilleGM@agproco.com","8711 Philips Hwy, Jacksonville , FL 32256, 
, 
, 
"
Ag-Pro LLC - Athens,"John Ayers, WAthensGM@agproco.com","2950 Atlanta Hwy., Athens, GA 30606, 
, 
, 
"
Hammell Equipment - Eitzen,"Richard or Larry, Sales, eitzen@hammellequipment.com","300 Iowa Avenue South, Eitzen, MN 55931, 
, 
, 
"
"Jacobi Sales, Inc. - Sellersburg",Sales Department,"500 Hamburg Way, Sellersburg, IN 47172, 
, 
, 
"
"Jacobi Sales, Inc. - Franklin",Sales Department,"550 Earlywood Dr., Franklin, IN 46131, 
, 
, 
"
"Smith Tractor Company - Jay, Fl","Dewayne Williams, dwilliams@smithtractorco.com","3834 Highway 4, Jay, FL 32565, 
, 
, 
"
"Jacobi Sales, Inc. - Palmyra",Sales Department,"425 Main Street, Palmyra, IN 47164, 
, 
, 
"
"Hutson, Inc. - Poseyville","Sales, contactus@hutsoninc.com","60 E Frontage Rd., Poseyville, IN 47633, 
, 
, 
"
"Hutson, Inc. - Jasper","Sales, contactus@hutsoninc.com","2951 N 600 W, Jasper, IN 47546, 
, 
, 
"
GreenMark Equipment - Mishawaka,"Sales Department, ckasprzak@greenmarkequipment.com","60001 Elm Rd., Mishawaka, IN 46544, 
, 
, 
"
"Hutson, Inc. - Chandler","Sales, contactus@hutsoninc.com","10300 Telephone Rd., Chandler, IN 47610, 
, 
, 
"
"Hutson, Inc. - Elnora","Sales, contactus@hutsoninc.com","7362 S State Road 57, Elnora, IN 47529, 
, 
, 
"
Hoosier Tractor - Monrovia,"Jordan  Gilkerson, Sales, jbgilkerson@gmail.com","185 W. Washington St, Monrovia, IN 46157, 
, 
, 
"
GreenMark Equipment - Plymouth,"Sales Department, ckasprzak@greenmarkequipment.com","10209 South Iris Rd., Plymouth, IN 46563, 
, 
, 
"
GreenMark Equipment - Monticello,"Sales Department, ckasprzak@greenmarkequipment.com","1005 West Broadway Street, Monticello, IN 47960, 
, 
, 
"
GreenMark Equipment - Winamac,"Sales Department, ckasprzak@greenmarkequipment.com","1235 E 250 S, Winamac, IN 46996, 
, 
, 
"
"Lang Diesel, Inc. - Colby","Sales Department, wholesale@langdieselinc.com","1280 S Country Club Dr., Colby, KS 67701, 
, 
, 
"
GreenMark Equipment - Knox,"Sales Department, ckasprzak@greenmarkequipment.com","3920 E 200 N, Knox, IN 46534, 
, 
, 
"
GreenMark Equipment - LaGrange,"Sales Department, ckasprzak@greenmarkequipment.com","2965 North State Road 9, LaGrange, IN 46761, 
, 
, 
"
GreenMark Equipment - Leesburg,"Sales Department, ckasprzak@greenmarkequipment.com","6287 N S.R. 15, Leesburg, IN 46538, 
, 
, 
"
"LandMark Implement, Inc. - Smith Center","Matt Lyon, Store Manager, leads@landmarkimp.com","910 W Hwy. 36, Smith Center, KS 66967, 
, 
, 
"
"Lang Diesel, Inc. - Ellinwood","Sales Department, wholesale@langdieselinc.com","15 SE 90 Ave., Ellinwood, KS 67526, 
, 
, 
"
"Lang Diesel, Inc. - Chanute","Sales Department, wholesale@langdieselinc.com","201 W 35th Pkwy., Chanute, KS 66720, 
, 
, 
"
Fraley Truck and Implement Sales - Rushville,"Bart Fraley, VP , bfraley@fraleyimplement.com","744 E Hwy 52 , Rushville, IN 46173, 
, 
, 
"
Glascock Equipment & Sales - Veedersburg,"Loren, Rodney, or John, Sales, loren@gesales.com","736 W St. Rd 32, Veedersburg, IN 47987, 
, 
, 
"
"LandMark Implement, Inc. - Phillipsburg","Shane Christensen, Location Manager/Sales Professional, leads@landmarkimp.com","291 E Highway 36, Phillipsburg, KS 67661, 
, 
, 
"
"KanEquip, Inc. - Wamego","Sales Department, ed.geihsler@kanequip.com","18035 East Hwy. 24, Wamego, KS 66547, 
, 
, 
"
"LandMark Implement, Inc. - Marysville","Brett Henry, Manager/Sales, leads@landmarkimp.com","553 Pony Express Hwy., Marysville , KS 66508, 
, 
, 
"
"KanEquip, Inc. - Marysville","Sales Department, ed.geihsler@kanequip.com","1152 Pony Express Hwy., Marysville, KS 66508, 
, 
, 
"
"KanEquip, Inc. - Topeka","Sales Department, ed.geihsler@kanequip.com","2901 NW Hwy. 24, Topeka, KS 66618, 
, 
, 
"
Hammell Equipment - Chatfield,"Dan or Linus, chatfield@hammellequipment.com","713 Main St NW, Chatfield, MN 55923, 
, 
, 
"
Frontier Ag & Turf - Cannon Falls,"Randy Nicolai, Store Manager, randyn@frontieragturf.com","1185 4th Street South, Cannon Falls, MN 55009, 
, 
, 
"
Keating Tractor & Equipment - Liberal,"Alex Parsons, Sales Manager, alexparsons@keatingtractor.com","1900 W 2nd Street Rd., Liberal, KS 67901, 
, 
, 
"
"KanEquip, Inc. - Ottawa","Sales Department, ed.geihsler@kanequip.com","3313 Nebraska Terrace, Ottawa, KS 66067, 
, 
, 
"
Frontier Ag & Turf - Hastings,"Bruce Speirs, Store Manager/Sales, bruces@frontieragturf.com","12040 Point Douglas Dr. South, Hastings, MN 55033, 
, 
, 
"
Frontier Ag & Turf - Columbus,"Sales Department, markc@frontieragturf.com","13824 Lake Dr NE, Columbus, MN 55025, 
, 
, 
"
Frontier Ag & Turf - Rosemount,Sales Department,"2925 145th Street West, Rosemount, MN 55068, 
, 
, 
"
Ferguson Equipment & Trailer Sales - Rochester,"Craig Ferguson, 	craig@ferguson-trailersales.com","5525 Hwy 63 South, Rochester, MN 55904, 
, 
, 
"
"Dairyland Supply, Inc. - Sauk Centre","Sales Department, john@dairylandsupply.com","40563 State Hwy. 28, Sauk Centre , MN 56378, 
, 
, 
"
Dankers Enterprises - Red Wing,"Bruce Dankers, Owner, dankersenterprises@hotmail.com","4960 Moundview Drive, Red Wing, MN 55066, 
, 
, 
"
Ferguson Equipment & Trailer Sales - Dover,"Craig  Ferguson, 	craig@ferguson-trailersales.com","1734 County Road 142, Dover, MN 55929, 
, 
, 
"
"Courtland Waste Handling, Inc. - Courtland","Mark Guggisberg, mark@courtlandwaste.com","316 4th Street, Courtland, MN 56021, 
, 
, 
"
"C & B Operations, LLC - Worthington","Chad Wiener, Sales, WienerC@deerequipment.com","118 Hwy. 59/60, Worthington, MN 56187, 
, 
, 
"
"C & B Operations, LLC - Truman","Denny Junkermeier, Store Manager, junkermeierd@deerequipment.com","325 South Hwy. 15, Truman, MN 56088, 
, 
, 
"
"C & B Operations, LLC - Tracy","Greg Torkelson, Store Manager, torkelsong@deerequipment.com","900 Craig Ave., Tracy, MN 56175, 
, 
, 
"
"C & B Operations, LLC - St. James","Travis Zimmerman, Store Manager, ZimmermanT@deerequipment.com","71330 Tiell Dr., St. James, MN 56081, 
, 
, 
"
"C & B Operations, LLC - Slayton","Pat Tiede, Store Manager, TiedeP@deerequipment.com","1801 Hwy. 59, Slayton, MN 56172, 
, 
, 
"
Brokaw Supply - Redwood Falls,"Mitch  Simpson, mitch.simpson@brokawsupply.com","33615 County Highway 1, Redwood Falls, MN 56283, 
, 
, 
"
"C & B Operations, LLC - Jackson","Mike Espenson, Store Manager, EspensonM@deerequipment.com","Hwy. 71 North, Jackson, MN 56143, 
, 
, 
"
"C & B Operations, LLC - Pipestone","Jeff  Wacker, Store Manager, WackerJ@deerequipment.com","1116 State Hwy. 23, Pipestone, MN 56164, 
, 
, 
"
"Boss Supply, Inc.","Tim Burns, tim@bosssupplyinc.com","414 South Main Street, Janesville, MN 56048, 
, 
, 
"
"C & B Operations, LLC - Luverne","Eric Sandbulte, Store Manager, SandbulteE@deerequipment.com","1480 South Kniss Ave., Luverne, MN 56156, 
, 
, 
"
