address,area,book_table,can_order_via_zomato,cost_for_two,cuisine,delivery_reviews,dining_reviews,discount,featured_in,has_menu_available,location,min_amnt_for_discount,rating,res_link,rest_name,rest_type,review_rating,reviews
 Delivery Only,Airoli,0,No,Rs. 350,"Biryani,, ,Lebanese",146,,,,1,,,3.4,https://www.zomato.com/mumbai/new-bismillah-caterers-airoli-navi-mumbai,"New Bismillah Caterers
                                    ",Biryani,"5.0,1.0,5.0,4.0,4.0","Whenever I crave for some hot and scrumptious chicken Tikka biryani I always prefer Bismillah in Airoli. One of the bestest biryanis I have ever had. And moreover the shawarma here is also Delicious but I don't know why... nowadays the biryani taste is not that good it feels very mediocre and sometimes tasteless as well. But still I like this place and would reccommend everyone to have a visit at least once if you are somewhere near Airoli.,Biryani is good and fresh...,Good service and fast as well...,Humble staff..."
" 8th Floor, A Wing, Supreme Business Park, Hiranandi Gardens, Powai, Mumbai",Powai,1,Yes,"Rs. 1,450",North Indian,39,1773,,For The Family,1,,,"4.1,3.8",https://www.zomato.com/mumbai/mehman-nawazi-powai,"Mehman Nawazi
                                    ",Casual Dining,"5.0,4.0,5.0,3.0,5.0","The food was too good..,I liked the location of the restaurant...the rooftop sitting,Awesome food, great ambience and good service as well.,Ordered Vegetable Pulav and I was served, Jeera Rice sauted in butter and garnished with beans , peas and paneer . It was definitely not a pulav that was expected at a restaurant .,Starters were all yummilicious -,Veg kurkure, peanut Chaat, panner starter and dahi Chaat.,Masala paapad too good.,Pahadi paneer biryani highly recommended. Must try. ,View is like an icing on the cake."
" 13, Dubey Chawl, Jai Ambe Maa Chowk, Irla Road, Vile Parle West, Mumbai",Vile Parle West,0,No,Rs. 350,Chinese,51,,,,1,,,3.8,https://www.zomato.com/mumbai/np-iyer-chinese-vile-parle-west,"Np Iyer Chinese
                                    ",Chinese,"3.0,4.0,5.0,5.0,5.0","A delivery joint, which serves great Chinese food!,The taste and quality is upto the mark , presentation is also really good!,The food was warm till it was delivered it to me, good packaging, was really happy with it! :-),Being a hardcore lover of Chinese food I can't miss to mention about this place which serves scrumptious Desi Chinese food . It is a delivery outlet situated in vile parle . Food is served piping hot and on time . They ensure proper and hygienic packaging of food . Food I tried here are,1) tomato fried rice - fluffy rice cooked in tomato gravy . It was tangy in taste and perfect to satisfy your taste buds .,2) schezwan noodle - spicy noodles , so flavourful and cooked in schezwan sauce.,3) Manchurian bhel - must try it was truly delectable .,4) Manchurian noodles - smoky and spicy tasted really good .,All food items are light on pocket and portion size is generous . Highly recommend .,The fried rice are really great and the paneer chilly was awesome , the quantity and the quality were both up to the mark . The crowd is also nice should really visit here for great Chinese food"
" Store 5, New Sai Texprocil Apartment, Ganesh Chowk Marg, D.N Nagar, Andheri Lokhandwala, Andheri West, Mumbai","Andheri Lokhandwala, Andheri West",0,No,Rs. 300,"Cafe,, ,Ice Cream,, ,Desserts,, ,Beverages",409,400,,Sweet Tooth,1,,,"4.3,4.4",https://www.zomato.com/mumbai/peko-peko-andheri-lokhandwala,"Peko Peko
                                    ",Café,"5.0,4.0,4.0,4.0,5.0","This is famous for its Falooda, but I personally think that you can get better falooda at other place.. Chicken Sandwich & pizza was good.,Delicious ice cream. Almost a gelato-like texture. I got there super late, after closing time actually. The person serving us tried his best despite the time. Definitely a place worth trying again, especially if you're in the andheri West region. I hope I come in time for the hot chocolate next time,Edit: went back for the hot chocolate and the raspberry sorbet. Was not disappointed. Truly a premium experience.,The first bite of the chocolate ice cream was like heaven. It was extremely rich in texture and tasted divine. Packed with a burst of flavors as soon as you have the first bite. A little expensive for the price being charged but definitely spells indulgence,We tried the dark chocolate sea salt ice cream. The ice cream was very rich and the presentation was also good. Can work on the service though. The staff present seemed uninterested in handling the customers at 11 pm. He was not able to respond to the questions asked by us or for that matter other customers also. Great ambience.,It's a really cute café situated in a non crowded and quiet lane. Very tasty and creamy ice cream! The service and ambience is great. Perfect place for quiet time or a nice date!"
" Shop 4, Near Akruti Star, MIDC, Central Road, Near Andheri East Station, Mumbai",Near Andheri East Station,0,No,Rs. 350,"Chinese,, ,North Indian,, ,Biryani",839,136,,,1,,,"3.3,2.7",https://www.zomato.com/mumbai/janhavi-chinese-foods-near-andheri-east-station,"Janhavi Chinese Foods
                                    ",Quick Bites,"5.0,2.0,5.0,5.0,5.0","Good testy food I like it.,Didn't like the food . It was not good . The quality wasn't able to make my hunger.. at night time we ordered. The order was cold.."
" Shree Raj Enclave, Opposite Seven Square School, Indralok Phase 2, Mira Road, Mumbai",Mira Road,0,Yes,Rs. 500,Desserts,202,,,,1,,,4.1,https://www.zomato.com/mumbai/cakes-crackers-2-mira-road,"Cakes & Crackers
                                    ",Dessert Parlor,"5.0,5.0,5.0,5.0,5.0",
" Exquire Building, Manchubhai Road, Malad East, Mumbai",Malad East,0,No,Rs. 400,"North Indian,, ,South Indian,, ,Chinese,, ,Street Food,, ,Fast Food",,160,,,1,,,3.6,https://www.zomato.com/mumbai/ashok-pure-veg-malad-east,"Ashok Pure Veg
                                    ",Quick Bites,"4.0,4.0,4.0,3.0,4.0","Rating: 8/10,Inframe: Cheese Vegetable Pizza,Pav Bhaji,Harabhara Kabab,Panner chilli,Manchurain,Dosa,When indians have no option or confuse what to eat this is mandatory they would order for!! ,It's a regular dine in restaurant with inner and outer sections . The inside section is AC where during lunch time you see families having lunch. ,We ordered veg munchow soup which tasted decent enough ,Also ordered paav bhaaji non Jain. Took a lot of time for preparation but the taste was good. The staff was polite and courteous ,Good place for a quick lunch with your family and friends,The place is really good. It just not only have a good ambience but also an good service. The food is too yummy. You should try Punjabi here they have very good and huge option in it. The others thing we're also good I love this place . Please try it once this outlet.,The Ashok pure veg restaurant is a place which used to serve its best and still its the best since past mant years. ,Its just near to malad station or near to malad subway.,The restaurant has AC and non AC both.,Food quality is served brilliantly. Quality and quantity of food is also perfect and amazing. ,Tawa pulav,Pav bhaji ,Pizzas ,Dosa and masala dosa. ,Some of the most tastiest things which i love at this place the most."
" 10/A/1, Sindhi Colony, Sion West, Sion, Mumbai",Sion,0,No,Rs. 150,South Indian,17,,,,1,,,3.9,https://www.zomato.com/mumbai/kisan-dosawala-2-sion,"Kisan Dosawala
                                    ",Quick Bites,"5.0,5.0,5.0","It's a street food dosa joint with variety of options to choose from.,It's literally an underrated place.,It's located opposite Sies college, besides SK book stall.,It opens after 4:30pm in the evening.,The quality of dosa they serve is just awesome.,What I ate:,1. Butter sada dosa:,Crispy dosa topped with Dolph of butter and served with mixture of tangy and spicy coconut chutney.,2. Mysore sada dosa:,Butter sada dosa topped podi masala and served with coconut chutney.,Speciality here is their coconut chutney.,It usually crowded in the evening.,Hot eats, cool treats 😎,Till then keep gawking at this 👀,Follow Foodiechefs for more food updates.,read more"
" 8, Shiv Plaza, Gopal Lane, Ghatkopar West, Mumbai",Ghatkopar West,0,No,Rs. 550,"Street Food,, ,South Indian,, ,North Indian,, ,Chinese,, ,Fast Food,, ,Beverages",831,148,,,1,,,"3.3,3.6",https://www.zomato.com/mumbai/shiv-krupa-ghatkopar-west,"Shiv Krupa
                                    ",Quick Bites,"4.0,2.0,5.0,3.0,5.0",Good place to hang out
" Barola, Sector 49, Noida","Sector 49, Noida",0,Yes,Rs. 250,"North Indian,, ,Chinese",,25,,,1,,,3.1,https://www.zomato.com/ncr/guest-invite-1-sector-49-noida,"Guest Invite
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,5.0","paneer parantha very tasty,Try Oreo milkshake so very crunch and tasty,Allo parantha size so owsome and restaurant provide amul butter and curd pickle ,Thanks,All item taste is diffrent imagine other restaurant"
" 433/30/1, 28th Cross, 10th Main, Opposite BDA Complex, 4th Block, Jayanagar, Bangalore",Jayanagar,0,Yes,Rs. 700,"Andhra,, ,Seafood,, ,North Indian,, ,Chinese",52,475,,,1,,,"3.1,3.5",https://www.zomato.com/bangalore/central-jail-restaurant-jayanagar,"Central Jail Restaurant
                                    ",Casual Dining,"5.0,3.0,3.0,5.0,5.0",
" 22, NR Colony, BDA Main Road, Near Salarapuria Splender Apartment, Murgaspalya, Old Airport Road, Bangalore",Old Airport Road,0,Yes,Rs. 400,"Andhra,, ,North Indian","7,177",117,,,1,,,"3.6,3.5",https://www.zomato.com/bangalore/andhra-ruchulu-airport-road-bangalore,"Andhra Ruchulu
                                    ",Quick Bites,"3.0,5.0,1.0,1.0,5.0",These guys sent stale and spoilt chicken via delivery. This is the worst thing a restaurant can do. Someone cna get food poisoning. Luckily I threw it out because I could smell it.
" 15, Industrial Area, Stage 2, BTM Layout, Bengaluru, Karnataka",BTM,0,Yes,Rs. 250,"Fast Food,, ,Street Food",253,26,,,1,,,"3.7,3.9",https://www.zomato.com/bangalore/snack-me-btm-bangalore,"Snack Me
                                    ",Quick Bites,"1.0,5.0,5.0,5.0,5.0","Dude improve the quantity what the hell. The stuffing in the samosa was lesser than a spoon,Patti samosa , cheese roll are to die for..😍,Tasty food prepared with all safety measures and precautions."
" 1065/A, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Bannerghatta Road,0,Yes,Rs. 450,"South Indian,, ,North Indian,, ,Chinese,, ,Street Food,, ,Beverages",572,239,,,1,,,"3.5,3.7",https://www.zomato.com/bangalore/sri-bhagya-grand-bannerghatta-road,"Sri Bhagya Grand
                                    ",Casual Dining,"3.0,5.0,4.0,5.0,4.0",
" Shop 4, Plot D 10, Sector 20, Airoli, Navi Mumbai",Airoli,0,No,Rs. 400,"Chinese,, ,Fast Food",40,45,25,,1,,,"3.5,3.3",https://www.zomato.com/mumbai/bbq-adda-airoli-navi-mumbai,"BBQ Adda
                                    ",Quick Bites,"5.0,5.0,4.0,5.0,5.0",
" C- 101, West Patel Nagar, New Delhi",West Patel Nagar,0,No,Rs. 300,"South Indian,, ,Chinese","16,5",467,,,1,,,"3.7,3.6",https://www.zomato.com/ncr/south-indian-fast-food-1-west-patel-nagar-new-delhi,"South Indian Fast Food
                                    ",Quick Bites,"1.0,1.0,5.0,5.0,1.0","We are regular customer of this restaurant but today I placed an order through Zomato ,if I just want refund I can report my issue over chat to Zomato team ,but I usually go there most of the time so I just want to share my feedback as responsible customer but the restaurant person was so rude with me over the call. I didn't expect this , really disappointed 👎,One of the best places to try south indian food . ,Must try .,Got a dosa from this place and there was a centipede (Kankhajura) in the sambhar."
" Shop 11, Shivaji Nagar, NM Joshi Marg, Delisle Road, Lower Parel, Mumbai",Lower Parel,0,Yes,Rs. 400,"Desserts,, ,Bakery",147,,,,1,,,3.5,https://www.zomato.com/mumbai/cake-walkers-lower-parel,"Cake Walkers
                                    ",Dessert Parlor,"1.0,1.0,2.0,1.0,5.0","I order an black forest but the cake is just havinv the cream frosting n some chocolate is just being spinkled upon it pathetic cake 😡,The cake is named as mongo truffle, I had called up cake walkers before ordering from Zomato to confirm what the cake consisted of, the said it will have chocolate with mango, Firstly the cake had no decor and on cutting it to my surprise it was just fresh cream and nothing no mango pieces no chocolate, completely wast of money, don’t buy this ever,They should start reading special notes even after putting name that to be mentioned they sent plain"
" 17, 58, & 59, DDA Market, Near Sachdeva School, Sector 13, Rohini, New Delhi",Rohini,0,No,Rs. 650,"North Indian,, ,Mughlai","3,419",249,10,,1,,,"3.6,4.2",https://www.zomato.com/ncr/chit-chat-rohini-new-delhi,"Chit Chat
                                    ",Quick Bites,"5.0,5.0,5.0,4.0,5.0","Ordered paneer butter masala today after so long from a restraunt,Taste was amazing and the craving was satisfied.highly recommended,Very nice food😍😍,I had tandoori chicken yesterday.It was good.Taste was fantastic.I have been to this place many times.Good staff.The only thing they have to work on is quick service.They took a lot of time that’s the only thing I didn’t liked.Overall good food tgey have.They have a good chicken variety.👍🏻"
" 2, Opposite Shahdara Logix Blossom County, Sector 135, Noida","Sector 135, Noida",0,Yes,Rs. 250,"North Indian,, ,Chinese,, ,Mughlai",771,46,,,1,,,"3.5,3.5",https://www.zomato.com/ncr/food-street-sector-135,"Food Street
                                    ",Quick Bites,"4.0,1.0,5.0,4.0,5.0","Ordered dinner multiple times from food street. Aaloo Gobi adraki and kadhai paneer is very good.very economic and worth the money . And yup the tandoori roti is perfect.,I had a food poisoning after having the chkn biryani. It looked like very cheap roadside biryani. The chicken inside was stale, not fresh and looks like 2-3 days old item has been served. I tasted very small portion and I had to throw out the rest in dusbin. Recommend, not to buy from here, if you care about your health,This restaurant is not only good with food but also good at heart ❤️ they have been such a great help at this time of crisis when we couldn’t find chicken for our two baby pups the owner did not only sent us food for our pups but also did not charge anything above the normal price ,Kudos to you food street"
" Near Captains Compound, Off Oceanic Building, Carter Road, Bandra West, Mumbai","Carter Road, Bandra West",0,No,Rs. 300,"Fast Food,, ,Beverages",231,155,15,,1,,,"4.0,4.1",https://www.zomato.com/mumbai/carters-quickeats-carter-road-bandra-west,"Carter's Quickeats
                                    ",Quick Bites,"5.0,5.0,4.0,1.0,5.0","Just excellent!They're pepperoni cheese bombs are to die for!Awesome burgers too,please go ahead and order,you will not regret it!,Ordered the Ghost Rider burger and it was delicious but it didn't have ghost chillies in it and was not fiery at all - just mildly spicy.,Still very delicious though, but I'd have loved it if it was fiery - food spicy enough that you want to quit but tasty enough you want more of it. ,Okay so this is the proof of how tasteless and bad is the food. last night I order Chocolate Sandwhich..And It was so bad that I had to throw it in Dustbin...And worst thing is Zomato is not refunding for this..I am a Gold Member And Order Almost Every 2nd say..BUR THIS TIME IT WAS VERY DISAPPOINTING AND I HAVE NO IDEA HOW THIS RESTAURANT HAVE SUCH RATING..THE FOOD DOESNT EVEN DESERVE 1 STAR..ITS TOTALLY BAD PLEASE DONT ORDER FROM HERE AND SAVE YOUR MONEY..AND I AM NOT TAKING DOWN THIS PHOTO UNTILL I GET REFUND FROM RESTAURANT OR ZOMATO"
" Shop 14/15, Gamadia Building, Dimtimkar Road, Nagpada, Near Byculla, Mumbai",Byculla,0,No,Rs. 500,"BBQ,, ,Chinese,, ,Lebanese",301,53,,,1,,,"3.3,3.5",https://www.zomato.com/mumbai/al-kebabi-byculla,"Al Kebabi
                                    ",Quick Bites,"1.0,5.0,2.0,2.0,1.0","I would suggest people not to order food from this place, they say they have reduced the quantity they serve if you order through gold. And they say since they have to pay Zomato, they have reduced the quantity. They asked me to order directly through them to get the correct quantity. Also when clearly mentioned about the cooking instructions of not to add food color, my order contained food color! What is the meaning of ordering through gold, when the food they serve is reduced in quantity.,One of the best food in town!! You cannot go without licking your fingers! Hands down to chef, love love the fried rice and Kapsa. You should try their Lebanese tikka and thanks me later. ,Quantity is not good 2 malai khepsa can be be eaten only by 3 person very bad quantity,Ordered a chicken hot pot rice and chicken white pot rice.,Both item was of Rs-299/ each.,And this is what quantity i have received.,Talked with the restaurant executive and they were like we are paid only Rs-83/- from zomato , so according to that we will give the quantity."
" Main Gate, HDIL Kaledonia, Sahar Road, Near Andheri East Station, Mumbai",Near Andheri East Station,0,No,Rs. 200,"Healthy Food,, ,Juices",153,49,,,1,,,"3.6,3.8",https://www.zomato.com/mumbai/diet-house-near-andheri-east-station,"Diet House
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,5.0",
" Oberoi Chambers 1, Off Link Road, Veera Desai Area, Mumbai",Veera Desai Area,0,No,"Rs. 1,200","Continental,, ,Finger Food,, ,Italian",,27,,,1,,,3.0,https://www.zomato.com/mumbai/tranquil-veera-desai-area,"Tranquil
                                    ",Casual Dining,"4.0,5.0,5.0,5.0,1.0","Awesome place for partying with friends🍻🍾  ... food was also nice 😋.. DJ was too good 😍😍,This place is great for weekend parties. They have a nice set up. Staff is well trained and supportive. Food and drinks are amazing and reasonably priced. It is a must visit place for everyone.,Tranquil is one of the newest introductions in Andheri West. Located in Oberoi chambers, Veera Desai road makes it a very convenient option and fairly easy to locate.,Based on the location it stays open till 1am but I see a great potential in the ever rising demand of this place and I believe they should further extend their timings specially over weekends.,Menu is interestingly designed based on what compliments the best with alcohol. ,We tried whiskey sour and mojito both legendary drinks, just made to perfection. ,Prawns cracker, peri peri chicken skewers and chargrilled prawns are some of the best ones to try.,Overall it is a great place to visit."
" The Leela Mumbai, Andheri-Kurla Road, Sahar, Andheri East, Chakala, Mumbai","The Leela Mumbai, Chakala",0,No,"Rs. 5,000","Spanish,, ,Italian,, ,North Indian,, ,American,, ,Mediterranean,, ,Continental,, ,Japanese",,413,,Sunday Brunches,1,,,4.0,https://www.zomato.com/mumbai/citrus-the-leela-mumbai-chakala,"Citrus - The Leela Mumbai
                                    ",Fine Dining,"4.0,3.0,3.0,3.0,1.0",
" Link Road, Bangur Nagar, Goregaon West, Mumbai",Goregaon West,0,No,Rs. 600,"Chinese,, ,North Indian,, ,Maharashtrian",34,40,,,1,,,"3.2,3.9",https://www.zomato.com/mumbai/vijay-palace-goregaon-west,"Vijay Palace
                                    ",Casual Dining,"5.0,5.0,5.0,2.0,5.0","On 29th May ordered Chicken Kheema,,Was Fabulous,Thanks"
" Shop 11, Mayfair CHSL, Sundervan, Near Laxmi Industrial Estate, Andheri Lokhandwala, Andheri West, Mumbai","Andheri Lokhandwala, Andheri West",1,Yes,Rs. 500,"Pizza,, ,Fast Food,, ,Beverages",29,161,,,1,,,"3.8,3.0",https://www.zomato.com/mumbai/eagle-boys-pizzeria-cafe-andheri-lokhandwala,"Eagle Boys Pizzeria & Cafe
                                    ",Casual Dining,"1.0,2.0,4.0,5.0,4.0","Shittiest pizza ive ever eaten in my life God forbid anyone who calls this shit cake a pizzaa .. there was something like sand in the pizza granny in the teeth tasteless shit pile despite asking for extra cheese got thin papper cheese and and faaat ass bread ... complete waste of money and expectations dont order from this place,This place is located in Andheri with chilling atmosphere. Tried grilled garden pizza it was delicious. Hygiene was maintain. Everything was just perfect,Try the chicken popcorns! They are amazing ❤️"
" 3, 4, 6, Costa Rica, Sunder Lane, Orlem, Malad West, Mumbai",Malad West,0,Yes,Rs. 700,"Chinese,, ,Seafood,, ,Thai","1,049",276,,,1,,,"3.3,3.9",https://www.zomato.com/mumbai/maldrins-chinese-restaurant-malad-west,"Maldrin's Chinese Restaurant
                                    ",Casual Dining,"1.0,1.0,5.0,1.0,1.0",
" Plot 34, Anchit Towers, Kalamboli Link Road, Roadpali, Sector 20, Kalamboli, Navi Mumbai",Kalamboli,1,Yes,"Rs. 1,600","North Indian,, ,Chinese,, ,Continental",,185,,,1,,,3.9,https://www.zomato.com/mumbai/club-cavalro-kalamboli-navi-mumbai,"Club Cavalro
                                    ",Bar,"5.0,1.0,5.0,5.0,5.0","|| 🍹 Club Cavalro 🍺 ||,“Club Cavalro” is one of my go-to places at Kalamboli area as it is a fast-growing party destination at Mumbai-Sion-Panvel Expy. This place is a perfect weekend gateway place and it is fabulous indeed for the party freaks who are hunting for tempting food and drinks. It is one of the best places where both food and drinks are really amazing.,Club Cavalro is a casual dining and bar with positive happy vibes. They serve Continental, North Indian and Chinese cuisine.  I have visited this place quite few numbers of times during the weekends for partying with my friends. There are other restaurants and bars at Mumbai-Panvel Expy but still “Club Cavalro”...,read more,slow service and dj was not satisfied  really disappointed with the place staff should take care about the service,Polite staff experience"
" Unit 101 / 102, Center Point, Buidling Plot 21, Sector 6, Nerul, Navi Mumbai",Nerul,0,No,Rs. 900,"Continental,, ,Italian,, ,Chettinad,, ,North Indian",,95,,,1,,,3.5,https://www.zomato.com/mumbai/sagar-fine-dine-nerul-navi-mumbai,"Sagar Fine Dine
                                    ",Casual Dining,"5.0,2.0,3.0,5.0,5.0","The food was not good. The chicken was not cleaned properly and was not fresh either. Soup was very spicy and the bread seemed to be stale.,Delicious food. Will suggest this place for everybody. I will also arrange my parties there often."
" 7 & 8, Plot 138, Ground Floor, Haji Kasam Chawl, Maulana Shaukat Ali Road, JJ Signal, Mumbai Central, Mumbai",Mumbai Central,0,No,Rs. 500,"Chinese,, ,Seafood",66,17,15,,1,,,"3.3,3.9",https://www.zomato.com/mumbai/khana-khazana-mumbai-central,"Khana Khazana
                                    ",Quick Bites,"5.0,5.0,5.0,5.0,5.0",
" Shop 16, Block 3, Pokhran Road 2, Vasant Vihar, Thane West, Thane","Vasant Vihar, Thane West",0,No,Rs. 300,"Desserts,, ,Ice Cream",470,151,,,1,,,"3.9,3.6",https://www.zomato.com/mumbai/hawte-vasant-vihar-thane-west-thane,"Hawte
                                    ",Dessert Parlor,"5.0,5.0,1.0,1.0,5.0","Please for God's sake improve the packaging.. It has no tight lid.. Quantity is very less too ,I am a fan of their ice creams and a very regular customer . I ordered 6 assorted scoops from them.. on receiving the order I see half the ice cream is completely melted and toppled over ... The other ones which were intact the quantity was so less..the ice cream is fits in half the smallest cups they have delivered in .. it's like literally just spoonful ..or just two bites. . I know what their quantities is as I have bought from them before .. if u don't have enough stock to serve all in the lockdown YOU JUST DONT SERVE !!! such a waste of 600bucks ... Such a cheap practice by such a well known brand"
" Sai Baba Complex, Near Oberoi Woods & Oberoi International School, Goregaon East, Mumbai",Goregaon East,0,Yes,Rs. 400,"Chinese,, ,North Indian,, ,Fast Food,, ,Biryani","6,129",,,,1,,,3.8,https://www.zomato.com/mumbai/landmark-kitchen-goregaon-east,"Landmark Kitchen
                                    ",Chinese,"4.0,1.0,5.0,5.0,5.0",
" 319/1, Ground Floor, 10th Cross, Near Kethan PG, Bellandur, Bangalore",Bellandur,0,Yes,Rs. 300,"Juices,, ,Healthy Food",54,,,,1,,,3.9,https://www.zomato.com/bangalore/no-sugar-please-bellandur-bangalore,"No Sugar Please!
                                    ",Beverage Shop,"5.0,5.0,5.0,5.0,5.0",
" Shop 10/A1, Sion Sindhi Colony, Opposite SIES College, Sion, Mumbai",Sion,0,No,Rs. 200,Rolls,,,15,,1,,,,https://www.zomato.com/mumbai/a1-franky-sion,"A1 Franky
                                    ",Rolls,,
" Y.K. Nagar NX, Behind Big Bazar, Narangi Bypass Road, Virar, Mumbai",Virar,0,Yes,Rs. 850,"North Indian,, ,Chinese,, ,Biryani,, ,Maharashtrian","2,203",567,,,1,,,"4.1,3.5",https://www.zomato.com/mumbai/kolsa-virar,"Kolsa
                                    ",Casual Dining,"2.0,5.0,3.0,1.0,3.0","Had ordered Chicken Mugalai Paratha i.e baida roti chicken.... Saying its origin of Kolkata but very sad to say they hv made pathetic experience.,the kepsa rice i ate here was very much mouthwatering and delicious..kolsa is one of my favorite restaurants for its tempting naan's and chicken meals...the taste here is very much inviting and staff is so cool...the 1st time i tried kepsa rice was at kolsa and it got my mind go crazy...such a great taste..good ambience..family friendly..and amazingg restaurant ✌️✌️,I only visit this place to have their kepsa rice..its the best! Must try for non veg lovers!"
" Trishul Building, Shivaji Road, Dhanukarwadi, Opposite Santoshi Mata Mandir, Kandivali West, Mumbai",Kandivali West,0,No,Rs. 600,"North Indian,, ,Chinese,, ,Fast Food,, ,Street Food",,222,,,1,,,3.3,https://www.zomato.com/mumbai/rasoi-veg-treat-kandivali-west,"Rasoi - Veg Treat
                                    ",Casual Dining,"5.0,4.0,1.0,1.0,5.0",
" 553, D8, Sector 5, Deepstambh CHS, Near Oxford School, Charkop, Kandivali West, Mumbai",Kandivali West,0,Yes,Rs. 200,"Beverages,, ,Fast Food",,21,,,1,,,3.7,https://www.zomato.com/mumbai/royal-rajput-soda-pub-kandivali-west,"Royal Rajput Soda Pub
                                    ",Beverage Shop,"4.0,4.0,5.0,5.0,5.0","Its a tiny outlet in Charkop. Wide range of amazing shakes and sodas. I have almost tried every shake and are just fabulous. Oreo Shake and Kitkat shake are must have. King Kong is worth a try and I bet one cant finish it alone. Rates are also very reasonable.,It is a small soda pub located in charkop but is all above in desserts.The shakes start from Range of 50 and believe me they are just awesome,This is a very humble outlet in the neighborhood of Kandivali West , It has a wide range of options in terms of soda and mocktails and even ice creams,It is a go to spot for many students and youngsters , who have a taste for beverages, they are all natural and freshly made,We had the following,Passion Fruit Mocktail - A classic, it was a very good combination of taste and experience,Mimosa - A Must Try, A 3 layered beverage which has sweet , tangy and sour flavours in the same drink , it is one hell of an experience,Overall , one of the few addas you want to hangout at."
" 2, Daulat Sagar CHS, Nehru Road, Santacruz East, Mumbai",Santacruz East,0,Yes,Rs. 450,"South Indian,, ,North Indian,, ,Chinese,, ,Fast Food,, ,Beverages",313,126,,,1,,,"3.1,3.9",https://www.zomato.com/mumbai/tiffanys-snack-bar-santacruz-east,"Tiffany's Snack Bar
                                    ",Quick Bites,"4.0,5.0,5.0,4.0,5.0","I would like to share my experience and it was very good. Must try their pizzas and south indian food.,Situated in Santa Cruz east really close to the station . They have a good ambiece and the service is really good and food is also really tasty. They are well know for their pav bhaji as it's really yummy and delicious and it's also well knows for other fast food like club sandwich and pizza . The north Indian and South Indian cusises are also worth trying . It's pocket friendly and can be visited with friends and family . And it's one of my favourite places in Santa Cruz."
" Shop G 70, Vishwakarma Building, Near D S Marg, Chembur, Mumbai",Chembur,0,No,Rs. 600,"Malwani,, ,North Indian,, ,Mughlai,, ,Chinese",217,436,,,1,,,"3.6,3.4",https://www.zomato.com/mumbai/ratnagiri-restaurant-bar-chembur,"Ratnagiri Restaurant & Bar
                                    ",Casual Dining,"4.0,3.0,1.0,2.0,1.0","Tisrya i.e shell fish is a must try dish of this restaurant !! Special place for fish lovers ,The prawns weren't deveined so had to eat around that. Other food items were good in quality and taste.,Date: 1st March,2020.,Time: 14:10pm.,We went here planning that we will have our lunch here. We have been regularly visiting this restaurant once in 4-5months. We always have been accomodated rudely and unadjusted by this so called manager. But unfortunately due to no other sea-food place, we been forced to go here when the urge to have sea food.,Today it was the height of his uncourteous and rude forceful language to fit 6ppl on one single table.his view point was people fit on a small table. Unfortunately the 6ppl had 3senior citizens aged 60plus who would not be able to accommodate in a small table due to sitting issues.,When requested to join one more table or just change to a bigger...,read more,Alcohol is very costly. One new thing the bar too closes at 3pm along with the kitchen. There are rats roaming around the tables on the outdoor seating.,Food quality was average not much good as I was accepting ..management need to take care about water falling from AC water is falling direct in dish it's was so frustrated I ordered bombil fry , prawns fry, bangda Kade , bhakari roti and veg fried rice..was accepting Best and authentic sea foodood. But not so happy with it ..my experience was not so good Worth less and will never visit again to this place"
" Shop 5, Near JJ Hospital, Two Tank Road, Byculla, Mumbai",Byculla,0,No,Rs. 700,"Mughlai,, ,Chinese,, ,Rolls,, ,Fast Food,, ,Malwani",245,157,,,1,,,"3.9,4.1",https://www.zomato.com/mumbai/zaika-delicious-fast-food-byculla,"Zaika Delicious Fast Food
                                    ",Quick Bites,"5.0,4.0,5.0,4.0,5.0","Ordered the chicken and beef kebab and banjara chicken kebab Masala.via swiggy.. . Food was fabulous and cooked to perfection... Ek number.. Specially the Malai chicken Seekh kebab and beef kebab were absolutely delicious..,Good,If u belong to family ""taste lover"" then I highly recommend u to visit this place. Good oriented with polite staff and Excellent taste. I highly recommend u to book first before visiting unless u wish to wait. Tell ur taste to them and let them decide the good food for u . One of the best taste in TAWA as wll.,Approx 700 for two"
" 430, Nawale Wagholi NSP, Wagholi, Sopara-Niral Road, Nalasopara, Mumbai",Nalasopara,0,No,Rs. 500,"Fast Food,, ,Chinese,, ,North Indian",43,8,,,1,,,"3.6,3.9",https://www.zomato.com/mumbai/hotel-bhandari-nalasopara,"Hotel Bhandari
                                    ",Quick Bites,"5.0,1.0,5.0,5.0","Celebrated get together vd family. 😍Such a good ambiance. 🥰Food tastes sooo good. U get all variety of food as u wish🥰Best place to hangout vd family and friends 😘🌹💕,As we do with all new restaurants I tried Bhandari today but the dissapointment bar was high. Imagine a cheese garlic butter naan without cheese and just a little hint of butter...missing cheese took me to the restaurant where they grated cheese above the returned naan and it was done... ,Best non veg restaurant in nalasopara near wagoli road,,Specially for seafood and must try restaurant specialty Naral Biryani served in a fresh coconut water"
